Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,
3.53333,106,-3.47886,-1.71302,-3.45405,-1.33647,18.2689,0.989084,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.56667,107,-3.47886,-1.71302,-3.45405,-1.33647,16.3823,0.906135,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.6,108,-3.47886,-1.71302,-3.45405,-1.33647,14.4958,0.81751,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.63333,109,-3.47886,-1.71302,-3.45405,-1.33647,12.6316,0.725099,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.66667,110,-3.47886,-1.71302,-3.45405,-1.33647,10.8122,0.630796,-0.551326,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.7,111,-3.47886,-1.71302,-3.45405,-1.33647,9.05988,0.536493,-0.546711,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.73333,112,-3.47886,-1.71302,-3.45405,-1.33647,7.39704,0.444082,-0.484149,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.76667,113,-3.47886,-1.71302,-3.45405,-1.33647,5.84605,0.355457,-0.362342,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.8,114,-3.47886,-1.71302,-3.45405,-1.33647,4.42928,0.272508,-0.199074,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.83333,115,-3.47886,-1.71302,-3.45405,-1.33647,3.1691,0.197128,-0.0121307,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.86667,116,-3.47886,-1.71302,-3.45405,-1.33647,2.08788,0.131211,0.180704,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.9,117,-3.47886,-1.71302,-3.45405,-1.33647,1.20799,0.0766477,0.361646,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.93333,118,-3.47886,-1.71302,-3.45405,-1.33647,0.551801,0.035331,0.512909,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
3.96667,119,-3.47886,-1.71302,-3.45405,-1.33647,0.141684,0.00915327,0.616709,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
4.0,120,-3.47886,-1.71302,-3.45405,-1.33647,6.83019e-006,6.83019e-006,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
